City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Desc
0,Chuy,UY,-33.6971,-53.4616,79.2,75,90,11.3,Clouds
1,Hermanus,ZA,-34.4187,19.2345,69.8,87,1,3.15,Clear
2,Jamestown,US,42.097,-79.2353,27.99,72,100,16.11,Clouds
3,Cape Town,ZA,-33.9258,18.4232,69.91,73,6,15.01,Clear
4,Maniitsoq,GL,65.4167,-52.9,19.76,66,100,13.29,Clouds
5,Itaituba,BR,-4.2761,-55.9836,78.67,94,64,3.36,Clouds
6,Tasiilaq,GL,65.6145,-37.6368,19.56,60,100,8.23,Snow
7,Mataura,NZ,-46.1927,168.8643,56.7,54,0,4.21,Clear
8,Hilo,US,19.7297,-155.09,76.62,82,75,3.44,Rain
9,Chokurdakh,RU,70.6333,147.9167,-22.05,97,6,9.15,Clear
10,Albany,US,42.6001,-73.9662,36.36,70,100,1.54,Snow
11,Rikitea,PF,-23.1203,-134.9692,78.93,73,41,12.91,Clouds
12,Ushuaia,AR,-54.8,-68.3,53.22,81,96,4.43,Clouds
13,Poum,NC,-20.2333,164.0167,80.28,81,62,7.61,Clouds
14,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,85,4,7.65,Clear
15,Vorukh,TJ,39.8494,70.5838,25.48,36,29,10.45,Clouds
16,Gat,IL,31.61,34.7642,70.79,31,96,15.19,Clouds
17,Mukhen,RU,48.1,136.1,-19.82,98,89,2.84,Clouds
18,Butaritari,KI,3.0707,172.7902,81.37,78,14,17.81,Clouds
19,Tuatapere,NZ,-46.1333,167.6833,56.43,58,3,4.97,Clear
20,Mitsamiouli,KM,-11.3847,43.2844,81.79,74,86,10.83,Clouds
21,Airai,TL,-8.9266,125.4092,61.05,89,100,2.17,Clouds
22,Yellowknife,CA,62.456,-114.3525,-15.45,75,21,15.99,Clouds
23,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,76.26,82,98,2.53,Clouds
24,Punta Arenas,CL,-53.15,-70.9167,51.91,82,100,11.5,Rain
25,Haines Junction,CA,60.7522,-137.5108,18.66,82,45,2.35,Clouds
26,Hambantota,LK,6.1241,81.1185,74.86,83,100,10.63,Clouds
27,Busselton,AU,-33.65,115.3333,51.58,83,0,11.25,Clear
28,College,US,64.8569,-147.8028,2.89,83,75,0.0,Clouds
29,Kapaa,US,22.0752,-159.319,75.52,57,75,18.41,Clouds
30,Barrow,US,71.2906,-156.7887,-20.18,76,0,12.66,Clear
31,Matveyevka,RU,52.15,56.1833,-2.97,99,90,4.5,Clouds
32,Ixtapa,MX,20.7,-105.2,76.23,78,75,13.8,Clouds
33,Codrington,AU,-38.2667,141.9667,75.38,29,100,10.51,Clouds
34,Mar Del Plata,AR,-38.0023,-57.5575,71.83,91,100,8.01,Clouds
35,Mahebourg,MU,-20.4081,57.7,78.26,87,100,5.48,Clouds
